Height_Score,Weight_Score,Agility_Score
5.753809093,6.112882012,3
3.843150281,3.374215165,3
5.705275826,2.858168035,3
6.020346395,5.592406602,3
6.55720771,6.479755249,3
5.416053481,5.876765864,2
6.152755827,6.60571952,2
5.564862253,6.041262787,3
5.145194456,5.216548663,3
4.530323548,5.269889301,3
4.160029771,3.448199267,3
3.814922666,4.769905001,3
5.676180517,3.747476229,2
3.062224928,5.59672907,2
6.523991117,4.744227042,3
5.420004847,4.336182418,3
5.281558281,4.892409251,3
4.93337814,6.608643764,3
3.960773383,5.784287272,3
5.150214029,6.010673794,3
4.788085954,5.100626743,3
4.070985156,4.519771841,3
2.795822205,3.184053965,3
3.712863872,5.063951595,2
4.535968079,4.790831173,3
2.875581878,5.298327698,3
6.747503233,4.705477021,3
3.773940538,4.571829418,3
3.989704049,4.722970471,3
6.218500352,4.849190177,2
5.12914951,5.232465117,3
4.813421457,5.192195365,3
4.573941002,3.992931773,4
4.353344301,4.328411014,2
5.939665502,5.741673834,3
4.802371444,4.345457619,4
6.189784081,4.329523425,3
4.384276829,4.11883136,3
4.442453118,7.131757818,3
3.282350134,7.038562434,2
4.783985578,5.433391657,2
4.81869124,3.829234958,3
3.53299487,4.602908605,4
6.28824421,4.582578208,3
6.323958888,6.031278985,3
4.176678103,5.319973426,3
4.260919713,4.883676249,3
5.434385841,6.053399943,3
5.60024083,4.557671425,3
4.575449968,5.808162058,3
4.707058135,5.31047799,3
4.749244586,5.244576896,3
6.067966904,4.731883986,2
4.690849675,5.493256845,3
5.018799457,4.834785736,3
6.014373921,4.524723576,3
4.670415802,6.901605517,3
3.538250799,6.012686008,3
5.639608224,5.757319547,3
6.475945359,6.038725314,3
3.527475649,5.05228816,3
4.049249102,5.641071136,3
5.306411921,3.950431928,3
4.183396054,6.328319016,3
6.11221529,4.059911352,3
6.125989062,4.841793673,3
4.97132703,4.505715699,3
5.69139635,5.13860224,3
4.135118022,6.137618362,3
3.687144114,3.05325692,3
5.084878346,7.195639219,2
4.850193196,3.727873248,3
5.180122119,4.374847068,3
5.213700462,5.101362357,3
3.936928503,6.232960653,2
4.789565753,5.336562268,3
5.988858232,5.174008992,3
4.685662827,6.044871859,3
6.249709979,6.2840305,3
4.834168391,5.560340863,3
5.142450448,4.867072437,3
4.963096382,4.124975311,2
4.920175133,6.863146264,3
4.021195237,4.576003004,3
5.795531151,6.13847901,3
6.476563633,5.20752235,3
5.101524919,3.548321022,3
4.995457823,5.062497112,3
5.69308664,5.569760238,3
5.176839703,6.350183246,3
6.151712358,6.010412354,2
4.829527041,4.924017469,3
6.203666926,5.007562162,3
5.387405598,4.283517973,3
4.434188478,3.618622604,4
5.55099326,4.529521723,3
3.790362252,5.912976403,2
5.74684477,5.096443308,3
5.298383721,5.108759108,3
6.752943786,5.0607768,3
